Content,Date,Rating
"Every time I try to play an episode, the video freezes while the audio keeps playing. I tried clearing cache, clearing data, uninstalling and reinstalling the app, but nothing is working. Update 4/22/24: After leaving the app for a couple of months, I decided to try again. I managed to watch a couple of episodes uninterrupted, but now I'm getting the same issue again. The video freezes while sound keeps playing. This is ridiculous.",2024-04-23 03:56:49,1
"Netflix was the thing to watch ad free streaming at an affordable price. Then suddenly, they give u ads. In order to not have ads, u must pay more. They keep adding price stuff and making new rules. Netflix has gone down hill with the money grab. I refuse to upgrade as I got Netflix with tmobile (originally was ad free but Netflix changed the rules). The worst part is, I can't upgrade. I don't get the discount. Luckily the ads are rarely longer than 30 seconds. Do better.",2024-04-12 15:48:53,1
"Used to love Netflix. It had good shows, was reasonably priced, I could install a version on my phone and have entertainment while I was traveling, the whole family could share an account on different devices... sublime. But most recently, I've been getting kicked off every2 weeks. Netflix has decided I'm not allowed to use their platform that has BEEN PAYED FOR unless within their jurisdiction. If this had been disclosed before purchase, there wouldn't have been a purchase.",2024-04-07 15:18:17,1
"It stops shows after just a couple of episodes, which some people might find useful, but I can't figure out how to turn that off. I want to play shows for background noise while I'm painting, or cooking, or cleaning. I don't want to stop everything because I have to wash my hands so I can tell this stupid app that YES I AM STILL WATCHING. I got rid of this app before because of this, but certain shows are only on Netflix.",2024-04-19 00:28:49,1
"Great overall The reason why I gave 4 stars is because even though i've been using this app for 9 years now, I find it lose its meaning. What I mean is that other apps are upping their games, leaving Netflix as a weaker app due to the other apps buying more content. Amazing overall, recopmmend completely, however netflix, please buy more movies. That would help add that extra star.",2024-04-12 22:53:03,4
"I had no issues with app prior to the ads. Now when I download any movies to watch for later, they disappear at the beginning of the following month i.e., I downloaded 3 or 4 in March, only watched. As of today, the other 3 movies are gone. This happened in February as well so I thought it was just me but now I'm certain it's not. Please fix. Ty",2024-04-04 17:53:51,3
"When the EFF are you going to fix the brightness issues with Android?!? Multiple phones, multiple Android updates, multiple years! If you adjust or even accidentally touch the brightness control in the Netflix app, it breaks the brightness control. Your phone's brightness is overridden, the Netflix brightness doesn't work properly, and you literally need to clear the storage (not just cache) on the app to fix it. That's essentially uninstalling and reinstalling. How has this not been fixed yet!?",2024-04-03 07:14:07,3
"While I have enjoyed Netflix, I find it highly confusing how they get rid of good shows. To my perspective, I think it could resul more profitable to allow customers to be able to choose what we watch and like to keep around in stead of just stuffing the app with all sorts of nonsense options/movies/shows. Netflix used to be of better quality, meaning it used to have better content (more family oriented) and now it just seems to be aiming to delete the worthy of keeping fam oriented shows.",2024-04-14 06:32:58,2
"I've been trying to watch Netflix for 24 hours now, and it just won't start playback!! I've checked for updates, deleted my cookies, force quit the app, reinstalled the app, and nothing works. I have not made any changes to my subscription... the service simply isn't working. For the prices they're making us all pay, this is absolutely unacceptable. We can't even use the service we paid for, and I have premium.",2024-04-02 15:26:20,1
"For the most part, it was decent until recent changes. Recently our paid subscription changed to include ads. The ads show up every few minutes of streaming and last up to two minutes. It's very frustrating when our PAID subscription includes ads, especially with so many. I also wish there were more options for classic movies or TV shows, like Friends.",2024-02-10 03:05:16,1
