Content,Date,Rating
"Everything was working fine, with no problems or issues with the app. But after its recent update, movies and shows are still loading and playing, however its only the audio itself. Whatever is playing will show up blank. I tried logging out and logging back in, but that didn't work. So I uninstalled the app went and logged back in, hoping it would work, and that didn't work either. Would have given it 5 stars, but due to this inconvenience, I'm considering unsubscribing to Amazon Prime Video.",2024-04-20 03:59:33,3
"Overall great selection and a smooth running app. My only problem is lately when I come back to a show it has put me episodes behind where I was watching. Also if there is an ad when I'm scrolling ahead the media will continue playing but won't let me do anything saying ""you cannot skip during ads"" and that doesn't go away until I close the app, go back to the show, and find my episode all over again. This has made me give up on watching many times. Please fix this glitch",2024-04-16 19:50:07,3
"This app is unusable. I used to love prime video, but now I can't even watch anything. Everything buffers, freezes, and glitches. The audio will glitch and repeat while the screen freezes. No amount re-downloading or re-starting helps. I'm done. Only had prime so I could watch stuff, now I cant even do that. First the ads, and now it's completely unwatchable. I am beyond disappointed. Time to go back to HBO I guess.",2024-04-23 19:13:49,1
"Always a lagging, buffering or some kind issue with this streaming service. All others, Netflix, Hulu, etc will load right up. Terrible on a firestick device when all others work well. Frustrating. Also, the most user NON-friendly interface, especially when you order more channels through Prime. It's the pits all the way around. I hate when a good series comes up on Amazon Prime! I never end up having the patience to get through the 1st few episodes before I go onto Netflix or Hulu...",2024-04-08 16:18:41,1
"The app has degraded during last few years. There used to be a ""Free to me"" option to filter through all the ""add on"" channels but now it is gone. The screen is dominated by pay-to-view content and subscriptions that I do not have and top purchases. Really gives you the feeling that the main idea is to get to you spend money rather than supply a proper experience with the content that I've already subscribed to. It is really so bland in this case that I find it not appealing.",2024-04-07 15:54:45,2
"Not user friendly. Try to rewind and it minimizes my video to show me cast/info I don't care about and the zoom button is hidden. Try to skip intros and it registers as you hitting the timer and takes you all the way to the end. No ""Skip to end/next"" button, you gotta fast forward it 10 seconds at a time, or drag the timer, or back all the way out to get to the next episode if you want to skip one. Ads?? Seriously how do I pay over $100 a year for this and my free youtube has a better interface.",2024-04-18 14:28:15,1
"Recent addition of pay-to-skip-adverts is obnoxious, considering I am already paying to be a Prime member, and that Amazon Prime video content seems to be declining in quality, compared to Netflix, Max and other content providers. Excellent playback at 1080p is frequently interrupted at random intervals by frame skipping, playback freeze, and hashed/static-filled frames.",2024-04-24 11:23:57,2
"In general, it's a convenient app to have, especially during those times when you don't have access to good cable while traveling. If I were to give it a negative review, it would be how aggravating it is to have a subscription in other apps/ services that Amazon prime has access to, but you can't connect your subscription to theirs. Basically, you'll have to pay a double subscription to get the same thing from Amazon that you're paying elsewhere. Fix ASAP please....",2024-04-17 04:27:39,4
"Haven't had any major issues with the app on my device. However when I'm on the move (usually due to the nature of my job being in an ambulance) the videos do tend to buffer and take longer to load. Also the video player sometimes has a tendency to kick me from what I'm watching if my finger brushes the top of the screen in the wrong way accidentally. Otherwise, everything else has been great. Prime Video has definitely helped me get through some reeeaaally long shifts in the past",2024-04-16 10:15:18,4
"It's good. You can't find this amount of movies anywhere. The only thing is, lately the app has not been working properly. I'll click on it and I'll just get a black screen. I have to click out and then quickly click back in again for it to work. I tried deleting and then reinstalling the app, but it's doing the same thing. Update: as you are all aware, they are making us pay EXTRA to be commercial free! Greed strikes again. Ugh. Removing 2 stars.",2024-04-09 22:55:52,2
"I like that I can take my Amazon videos with me. I don't like the video player it's self. It is just too hard to navigate with in a video. You can't easily and precisely FF or RW to a specific point at all. And, just moving ahead or back the pre-determined 10 seconds takes about as long as it took for the entire video to load in the first place. Netflix and YouTube apps do a MUCH better job at in-video navigation.",2024-04-07 16:50:45,3
"I'm not sure what happened to this app, but it has become unwatchable. I have the latest Samsung Galaxy 24 Ultra, and yet shows take way too long to buffer, and every 10 seconds, the show stutters. This started a few months ago and after looking it up online it seems only mobiles are affected by this. Please fix your app, your company is too big for this shoddy work.",2024-04-21 11:43:58,1
"Very annoyed as of last few weeks. Everyday the app on TV has an internet issue or something else and will not load. When I look up the issue it says I need to restart my internet router. Which is dumb because it's not my internet that is the issue, it is the Amazon prime video app. All other TV apps work fine, so it's not my internet. Fix the app issues please.",2024-04-21 19:44:27,1
"I don't generally leave overwhelmingly negative reviews, but whoof. Let me break down the usual experience. Start show, watch 30-60 seconds of ads. After 10-15 minutes the app crashes. Reboot app 3-4 times while it keeps telling you its ""currently unavailable"". When you do finally get back in, you have to watch those ads again to start your show back up. Then it usually loses your spot when it crashes so you've gotta fast forward and in doing so, incur another 30+ second ad. And this isn't new.",2024-04-05 18:25:22,1
"The video plays well and rarely is there any lag. The problem for me is the availability of shows. I like to rewatch shows I haven't seen in years. I started one yesterday and got through season 1 today. I go to continue to the next season and it, as well as, the next 10 seasons are currently unavailable. It is a Discovery+ show that I pay extra to get, and yet there are 9 seasons that I cannot watch.",2024-04-12 22:08:57,3
"Why am I paying for something that barely functions? The content I purchase, including subscriptions such as Paramount+, sporadically won't allow me to access them without repurchasing. Customer service might as well be nonexistent. Not to mention, it's overpriced, considering I still have to watch ads unless I shell out more money to remove them. This applies to Prime Video, Amazon Music, and even Audible. We've begun collecting physical copies of media and will be discontinuing Amazon entirely",2024-04-05 05:25:42,1
"Would rate higher if the app worked on Chrome cast. Typically, it won't load Prime Video at all. If it does, the video you choose won't play. Loads for like 5 mins then says something went wrong, retry, but doesn't load no matter how many times you do. Internet isn't the issue, we have max speed wifi, and all other apps work just fine, no buffering. Very disappointing because Prime used to be our favorite streaming app.",2024-04-05 17:17:09,3
"If I watch several successive episodes of a 45 minute each series and then try to switch to something else, it gives me a security error, basically saying ""failure to authenticate."" That's a hassle when I'm using it as background noise and, one might think, UNNECESSARY, when viewing previousely downloaded content THAT I OWN!",2024-04-21 03:27:21,2
"The whole reason I justified paying for Prime was because it included Prime Video, in addition to reliable shipping. However, I am not a fan of Amazon adding ads to the video service and telling me I can pay more to remove them. If they don't walk back on this by the time of my next billing period, I will be canceling my prime subscription.",2024-04-18 19:36:37,1
"Used to be good, but then they got greedy with the ads or extra charge for ad-free. I've cancelled my prime membership because of this, and because of their attacks on the NLRB. Deciding to be evil and annoying at the same wasn't a great idea. Unskippable ads that are poorly targeted. I hate every company I've seen and hate them more for being irritating.",2024-04-20 15:22:20,1
I love the movie selection! But I cannot stand that it auto plays even when the setting is turned off! It also does a terrible job keeping your place and you have to go through about 8 commercials to find where you left off because the app won't do it for you!,2024-04-23 18:37:42,2
"Prime needs to figure out how to incorporate ads properly. In the middle of an intense scene or even mid sentence is not the time. I forget what happened by the time the ads are done. I watch free streaming apps with ads with no issues. Amazon is large enough to have figured this out before adding them. Amazon really has gone downhill, but they keep raising their prices without the ability to choose what you want to include in your membership. It's finally time to cancel. Let us choose our plan.",2024-04-19 18:10:35,1
"I've tried 3 times to use this app for a particular show, Marry My Husband. While I haven't used it for anything else and didn't intend to except for that one show, it was pointless because it is a Korean drama with subtitles, and the only subtitle language that would download on the app was Bahasa Melayu, which took up over half of the screen. The desktop version is superior, but this was very inconvenient. I don't intend to use this app again for foreign shows, if I ever intend to use it again",2024-04-22 16:22:17,1
"It's not just that the app is more frustrating to use than others, or that lately it has seemed to only get more laggy, but the introduction of ""ads unless you pay up"" + the sheer volume of ads has ruined it. At least others offer decent discounts for their ad tiers, while Amazon keeps moving content to Freevee to make sure even ad-free subscribers are inundated. No one wants or uses the ever-growing list of prime ""services"" they keep increasing prices for. We need affordable options, not this.",2024-04-17 20:59:03,1
"Amazon doesn't care about their app. Works only ok on tablet, terrible on smart tv, can't connect a lot of the time over broadband WiFi when no other app has issues. Maybe if they actually paid programmers in the USA to perfect it, it would work better but it absolutely doesn't and there is no USA support other than uninstall reinstall which is a joke. ridiculous Amazon, if you have an app support it. If you won't support it, remove it. Considering cancelling Prime, just not worth it anymore.",2024-04-07 00:40:41,2
"Amazon is very convenient, but this app is not as good as it was. I am already paying for Prime, so the main content should be what I already pay for, not all the other pay channels. There used to be a toggle ""free to me"", they need to bring that back. I just added Max for the bicycle racing coverage and noticed replays of everything except cycling are available. It may be an add-on to Prime, but it is a poorly handled one.",2024-04-18 14:05:40,3
"Instead of charging more to eliminate ads, there should be a lower cost tier that includes ads. Content for paying customers should be the focus of highlights, not rentals and subscriptions for other services. If Prime insists on ads, play them before and after content. Content should not be interrupted with ads. Tubi, Crackle, Freevee, etc. do this already with no fee.",2024-04-19 15:52:47,3
"The ads are ridiculous. They are the same annoying ones, over and over, and there are far too many. If you missed something and need to hit back button during a movie, you have to watch ads again sometimes double as many , even though you already got through the miserable monotony of them just moments ago. Thanks prime, like we don't spend enough on you already. Amazon music went down the drain now this. I don't understand how a company can jack your prices every year plus make you watch adds.",2024-04-01 16:33:10,1
"Used to love it. Now they have made it impossible. There are so many different platforms to pay extra for and the ad free is not really ad free at all. On top of that, several times now I have FINALLY found a series to watch that require additional purchases, but halfway through said series I open the app, looking forward to watching and suddenly I have to pay per episode to watch. Or subscribe to some entirety different streaming service. It's gotten ridiculous.",2024-04-02 04:01:30,1
"Long buffer times. And it constantly loses track of where I leave off with shows. And it will freeze if I pause, then press play. The only reason I'm giving three stars instead of 2 is because I like the shows. As far as the apps performance, it's poor in my opinion",2024-04-24 22:07:47,3
"Loved it when I started to use it, but now the ads are outrageous. I would never use freevee because that is why I stopped watching regular TV channels. So I think I am gonna drop some channels and have already gone back to showtime HBO on direct TV. Now, I lose control of what to watch as for choices, but most of the time, they are playing at least one movie I want to watch. Last about charging more once you are already paying for the extra channels. Hulu and Netflix are in the same bag gonna.",2024-04-05 11:49:34,2
"love it. I switched from Netflix and couldn't be happier. Great service. Thus was f4om 2019. Now, what little content there is, is over run with woke. They have even more ads and most selections I'm interested in are on tubing or Freeview which hit you with FIVE ads at a time. I'm looking for an alternative. It's like everything else. it's a good idea, it picks up momentum, greed kicks in and they want an astronomical profit so raise prices and cut cost on content.",2024-03-24 22:33:26,1
"The app was perfect. I stress that word WAS. I've been with prime for several years now and when I first joined the only problem was that the ""good"" movies used to be distributed out over time . Like maybe once or twice a month. Then there would be a lag. That problem was eventually fixed and prime was pretty good for a while. Then they started raising the overall fees. I adapted. Now they've added commercials. On top of that , series that I used to watch for free are now available at a charge.",2024-03-29 11:22:33,3
"Prime Video excels in its diverse content selection. However, its app is a letdown. It repeatedly redirects to random episodes after finishing one, and resuming becomes a chore due to frequent, unnecessary ads. This severely hampers the viewing experience, making an otherwise excellent service frustrating. An upgrade in user interface is crucial",2024-03-25 05:57:31,1
I'm usually fine with ads but this app shows the same ads over and over to the point I can't word for word repeat it. I wish there was a variety at least. It sucks and I'm about to leave the app just because of it. There are also only so many movies you can watch till you have to pay for another subscription within the app you already pay for. It's ridiculous,2024-04-04 20:22:03,1
"Similar to the comment Jennifer wrote, the App recently began freezing up. It has having a hard time transitioning between the Xray view, picture-in-picture view, and the full screen view. I usually have to lock my screen, unlock it, then close the app completely and reopen it for it to work again. The app needs a patch, I believe it started after the addition of the x-ray view, which was an excellent add.",2024-03-10 08:28:47,3
"Used to be a 5 star streaming service, to me. Now, it's a 0 star. Of course you have to go and add ads to a streaming service that was once free for Prime members (which you're raising the cost of, AGAIN), you expect us to ALSO pay for Prime Video to remove ads. For a completely broken system. No way. Every time an episode is almost over, it goes to the next episode, BEFORE it even reaches the end credits. If it's an important episode, I have to go back just to finish it. Incredibly frustrating.",2024-02-14 04:19:36,1
"Fix your freaking app! If I try to clear away the menu when I Zoom my screen to full size, it automatically jumps the video forward to where I touched the screen with my finger because it instantly becomes the timeline bar. Why would it not be a slider? Why would touching anywhere on the slider instantly jump the video to that point? I can't be the only person to have dealt with this issue. It has been going on for an extraordinarily long time. I'm just finally fed up with it enough. And ads.",2024-02-26 13:00:19,2
"Overall the app works well, the latest update defaults to x-ray mode every time so the video is small at the top of the screen and you have to tell it to swap to landscape every time. The other annoying thing is that the sort for purchases defaults to most recent every time. Usually I'm looking for a specific movie and I don't need to look through a random arrangement of all my movies when an arrangement is more useful. There should be an option to set the default for the sort function.",2024-02-15 22:00:38,2
Prime used to be alright. The addition of commercials is unacceptable. Then trying to upcharge users to remove them. As if Amazon isn't making enough money. Their profits rose in 2023 by around 13%. The current $9.99 is more than enough to stream without ads. Edit: Quickly becoming the worst streaming service of all. The app has turned into complete trash. Doesn't keep place in shows anymore. If it's left paused for too long it completely forgets what you were watching.,2024-02-16 05:42:36,1
"Ever since the ads were added, there are huge problems with audio not syncing with video and video going completely absent while sound remains .. the only good part of this situation is that the ads are blanked as well. The app gets you there, but the service is spotty at best. And for those who think this is some sort of bandwidth issue, I've had Prime for a long time with ZERO problems .. the issues started exactly when the ads did.",2024-02-12 09:54:21,2
Searching and UI are subpar. There's a lot of optimizations needed for this app to go toe to toe with its competitors. When I search with included with prime i should not be able to see rent/buy movies at all until i change my search. One button is all it should take. When backing out of a movie it sends me to the top of the main page. VERY annoying. Subtitle quality is bad. Now you charge to get rid of ads. What a joke. Terrible service. Don't recommend this over the other streaming subs.,2024-02-12 05:59:51,1
"As much as I love a lot of those shows on the site, it's baffling to me that even owning a subscription, you still have to purchase/rent some shows. The shows on the site have really good options for different languages and subtitle settings as well. I still can't get over the double pay way though. I'll still continue with my subscription as I love some of the shows, but wowzee that's a shocker.",2024-02-09 22:15:38,3
Easy to search for videos and movies. Addition of adds is a little annoying but thankfully they are not very long and don't happen too often. Can easily access all features on tablet. On mobile it doesn't show my purchased items for some reason. Doesn't really ever freeze or crash. Occasionally lags and loads slowly. Like the thumbs up feature. Appreciate the presence of trailers instead of just reading the synopsis. Also really like the detailed cast and trivia information.,2024-03-04 02:01:03,4
"Stopped my paid subscription. It was doing ok. Until the last 6 months. It has been malfunctioning. Wont respond. starts playing song or podcast, and after 60 seconds stops , or stops multiple times during play back and / or stops and won't restart song. I've tried all suggestions on help and even complained multiple times to amazon. nothing has been corrected. Don't recommend it.",2024-02-11 09:43:52,1
"Amazon prime be smoking the crack. I don't know of they are feuding with some of the platforms they support or if the ones that don't pay their dues end up with malfunctioning, but prime can't keep track of where you leave off in what you're watching. Another example is that I kept getting a ""watch next"" prompt come up which wouldn't go away, I tried closing it but it jumped right to it. It can't keep track of ""recently watched"" correctly or does so randomly.",2024-03-05 11:29:28,2
"The ads are overwhelming. They are the same annoying ones, over and over, and there are far too many. If you missed something and need to hit back button during a movie, you likely will have to watch ads again, even though you already got through the miserable monotony of them just moments ago. Thanks prime, like we don't spend enough on you already.",2024-03-26 22:07:51,1
"Since adding Ads the experience has gone downhill. I refuse to watch a movie that has ads sprinkled in throughout. I hated that experience with cable, which is a big reason streaming services were appealing. Stopping a movie to play Ads completely kills the immersive movie experience. Juat play some ads before the movie starts and be done! I will NOT be paying a premium fee to remove them! I will just not use your service anymore. There are plenty of other options.",2024-02-12 15:03:54,1
Very good experience with it most of the time. Easy to navigate. Primary issue is the last few weeks it completely freezes my phone (android 2 years old) when the phone rotates and the video tries to adjust and freezes everything but the movie now playing partially visible on screen. I have to forcibly restart my phone to gain control again. I looked to see if the app had an update and it does not.,2024-03-07 13:51:49,4
